"Mean"	" Variat_var"	" Sum_var"	" Sum_sd"	" paths "						
21.403	1832.36	916.181	30.2685	2		42.8061232127	1832.362			
11.9597	619.23	154.807	12.4422	4		24.8844	619.228		10.27906	20.55812
6.0857	265.487	33.1858	5.76071	8		16.2937484218	265.4864		4.40506	12.4593911901
3.81787	131.778	8.23615	2.86987	16		11.47948	131.7784		2.13723	8.54892
2.99783	74.9299	2.34156	1.53022	32		8.6562315097	74.92992		1.31719	7.4511518489
2.37623	46.9879	0.734186	0.856846	64		6.854768	46.987904		0.69559	5.56472
1.95159	31.5398	0.246404	0.496391	128		5.6160230755	31.539712		0.27095	3.0654493178
1.97092	28.4048	0.110956	0.333101	256		5.329616	28.404736		0.29028	4.64448
1.823	24.5065	0.0478643	0.218779	512		4.9504036634	24.5065216		0.14236	3.2212390838
1.6652	20.5622	0.0200802	0.141705	1024		4.53456	20.5621248		-0.01544	-0.49408
1.59411	18.0297	0.00880357	0.0938273	2048		4.2461388858	18.02971136		-0.08653	-3.9159007857
1.64372	19.0377	0.00464787	0.0681753	4096		4.3632192	19.03767552		-0.03692	-2.36288
1.67294	18.8735	0.0023039	0.0479989	8192		4.344364503	18.8735488		-0.0077	-0.6969244435
1.71162	19.0558	0.00116308	0.0341039	16384		4.3652992	19.05590272		0.03098	3.96544
1.70648	18.5031	0.000564672	0.0237628	32768		4.3015262771	18.503172096		0.02584	4.6775396418
1.67309	17.893	0.000273026	0.0165235	65536		4.230016	17.893031936		-0.00755	-1.9328
1.67919	17.9379	0.000136856	0.0116985	131072		4.235309404	17.937989632		-0.00145	-0.5249560744
1.67802	17.8274	"6.80073e-05"	0.00824659	262144		4.22225408	17.8277056512		-0.00262	-1.34144
1.67818	17.8074	"3.3966e-05"	0.00582795	524288		4.2198865566	17.807966208		-0.00246	-1.7812302661
1.6791	17.8238	"1.78248e-05"	0.00422183	"1e+06"		4.22183	17.8248		-0.00154	-1.54
